Geneid	Chr	Start	End	Strand	Length	Col-02_S1_L001Aligned.sortedByCoord.out.bam-dir/fwd.bam	Col-02_S1_L001Aligned.sortedByCoord.out.bam-dir/rev.bam
ERCC-00002	ERCC-00002	1	1061	+	1061	139104	0
ERCC-00003	ERCC-00003	1	1023	+	1023	17774	0
ERCC-00004	ERCC-00004	1	523	+	523	7938	0
ERCC-00009	ERCC-00009	1	984	+	984	3280	0
ERCC-00012	ERCC-00012	1	994	+	994	2	0
ERCC-00013	ERCC-00013	1	808	+	808	8	0
ERCC-00014	ERCC-00014	1	1957	+	1957	9	0
ERCC-00016	ERCC-00016	1	844	+	844	2	0
ERCC-00017	ERCC-00017	1	1136	+	1136	0	0
ERCC-00019	ERCC-00019	1	644	+	644	23	0
ERCC-00022	ERCC-00022	1	751	+	751	1854	0
ERCC-00024	ERCC-00024	1	536	+	536	1	0
ERCC-00025	ERCC-00025	1	1994	+	1994	221	0
ERCC-00028	ERCC-00028	1	1130	+	1130	1	0
ERCC-00031	ERCC-00031	1	1138	+	1138	9	0
ERCC-00033	ERCC-00033	1	2022	+	2022	0	0
ERCC-00034	ERCC-00034	1	1019	+	1019	81	0
ERCC-00035	ERCC-00035	1	1130	+	1130	410	0
ERCC-00039	ERCC-00039	1	740	+	740	13	0
ERCC-00040	ERCC-00040	1	744	+	744	6	0
ERCC-00041	ERCC-00041	1	1122	+	1122	1	0
ERCC-00042	ERCC-00042	1	1023	+	1023	3267	0
ERCC-00043	ERCC-00043	1	1023	+	1023	9594	0
ERCC-00044	ERCC-00044	1	1156	+	1156	102	0
ERCC-00046	ERCC-00046	1	522	+	522	42137	0
ERCC-00048	ERCC-00048	1	992	+	992	0	0
ERCC-00051	ERCC-00051	1	274	+	274	113	0
ERCC-00053	ERCC-00053	1	1023	+	1023	160	0
ERCC-00054	ERCC-00054	1	274	+	274	77	0
ERCC-00057	ERCC-00057	1	1021	+	1021	0	0
ERCC-00058	ERCC-00058	1	1136	+	1136	8	0
ERCC-00059	ERCC-00059	1	525	+	525	132	0
ERCC-00060	ERCC-00060	1	523	+	523	3769	0
ERCC-00061	ERCC-00061	1	1136	+	1136	1	0
ERCC-00062	ERCC-00062	1	1023	+	1023	132	0
ERCC-00067	ERCC-00067	1	644	+	644	10	0
ERCC-00069	ERCC-00069	1	1137	+	1137	19	0
ERCC-00071	ERCC-00071	1	642	+	642	336	0
ERCC-00073	ERCC-00073	1	603	+	603	4	0
ERCC-00074	ERCC-00074	1	522	+	522	161321	0
ERCC-00075	ERCC-00075	1	1023	+	1023	0	0
ERCC-00076	ERCC-00076	1	642	+	642	1459	0
ERCC-00077	ERCC-00077	1	273	+	273	21	0
ERCC-00078	ERCC-00078	1	993	+	993	243	0
ERCC-00079	ERCC-00079	1	644	+	644	875	0
ERCC-00081	ERCC-00081	1	534	+	534	0	0
ERCC-00083	ERCC-00083	1	1022	+	1022	0	0
ERCC-00084	ERCC-00084	1	994	+	994	188	0
ERCC-00085	ERCC-00085	1	844	+	844	5	0
ERCC-00086	ERCC-00086	1	1020	+	1020	0	0
ERCC-00092	ERCC-00092	1	1124	+	1124	392	0
ERCC-00095	ERCC-00095	1	521	+	521	69	0
ERCC-00096	ERCC-00096	1	1107	+	1107	70113	0
ERCC-00097	ERCC-00097	1	523	+	523	0	0
ERCC-00098	ERCC-00098	1	1143	+	1143	2	0
ERCC-00099	ERCC-00099	1	1350	+	1350	279	0
ERCC-00104	ERCC-00104	1	2022	+	2022	0	0
ERCC-00108	ERCC-00108	1	1022	+	1022	1423	0
ERCC-00109	ERCC-00109	1	536	+	536	6	0
ERCC-00111	ERCC-00111	1	994	+	994	3489	0
ERCC-00112	ERCC-00112	1	1136	+	1136	637	0
ERCC-00113	ERCC-00113	1	840	+	840	35275	0
ERCC-00116	ERCC-00116	1	1991	+	1991	84	0
ERCC-00117	ERCC-00117	1	1136	+	1136	0	0
ERCC-00120	ERCC-00120	1	536	+	536	3	0
ERCC-00123	ERCC-00123	1	1022	+	1022	0	0
ERCC-00126	ERCC-00126	1	1118	+	1118	15	0
ERCC-00130	ERCC-00130	1	1059	+	1059	21987	0
ERCC-00131	ERCC-00131	1	771	+	771	161	0
ERCC-00134	ERCC-00134	1	274	+	274	0	0
ERCC-00136	ERCC-00136	1	1033	+	1033	802	0
ERCC-00137	ERCC-00137	1	537	+	537	6	0
ERCC-00138	ERCC-00138	1	1024	+	1024	2	0
ERCC-00142	ERCC-00142	1	493	+	493	1	0
ERCC-00143	ERCC-00143	1	784	+	784	26	0
ERCC-00144	ERCC-00144	1	538	+	538	25	0
ERCC-00145	ERCC-00145	1	1042	+	1042	6394	0
ERCC-00147	ERCC-00147	1	1023	+	1023	0	0
ERCC-00148	ERCC-00148	1	494	+	494	53	0
ERCC-00150	ERCC-00150	1	743	+	743	7	0
ERCC-00154	ERCC-00154	1	537	+	537	8	0
ERCC-00156	ERCC-00156	1	494	+	494	1	0
ERCC-00157	ERCC-00157	1	1019	+	1019	39	0
ERCC-00158	ERCC-00158	1	1027	+	1027	2	0
ERCC-00160	ERCC-00160	1	743	+	743	147	0
ERCC-00162	ERCC-00162	1	523	+	523	764	0
ERCC-00163	ERCC-00163	1	543	+	543	180	0
ERCC-00164	ERCC-00164	1	1022	+	1022	0	0
ERCC-00165	ERCC-00165	1	872	+	872	453	0
ERCC-00168	ERCC-00168	1	1024	+	1024	6	0
ERCC-00170	ERCC-00170	1	1023	+	1023	12	0
ERCC-00171	ERCC-00171	1	505	+	505	15804	0
